"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04814","Motor proteins","42/1200","194/9376",0.216494845360825,1.69154639175258,3.7287164630928,0.000363814262706589,0.00775379147393419,0.00674971197916173,"KIF26B/TUBB3/TNNC1/KIF4A/KIF2C/CENPE/KIF14/KIF20A/KIF18B/KIF23/KIF11/KIFC1/STARD9/BICDL1/KIF1A/MYO3B/TUBB1/KIF15/KLC3/DNAH14/TNNT1/MYL1/KIF17/MYH2/MYO7B/MYO7A/DYNLT5/TUBB2B/KIF5A/MYH11/KIF12/TUBA3D/DNAI3/DNAI2/MYH1/DNAH9/DYNLRB2/DNAH12/DNAH10/DNAI1/TUBB8/MYL4",42
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","23/1200","88/9376",0.261363636363636,2.04212121212121,3.76274067803626,0.000526314365834473,0.010557246985268,0.00919013319909111,"PLAU/F8/C5AR1/VSIG4/THBD/VWF/A2M/CFD/F10/C7/SERPINE2/PROC/F11/C8B/C6/F5/CPB2/F12/MASP1/FGB/SERPINA5/C4BPB/CR2",23
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","20/1200","73/9376",0.273972602739726,2.14063926940639,3.74803863186327,0.000622369058457128,0.0117904360518823,0.0102636300868369,"FMO2/ADH1B/MAOB/GSTM5/ALDH3B2/AOX1/UGT1A6/HPGDS/UGT1A7/GSTA3/UGT1A10/UGT1A1/UGT1A3/UGT2B15/UGT1A4/UGT1A5/ALDH3A1/CYP1A2/CYP2C9/ADH7",20
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","21/1200","79/9376",0.265822784810127,2.07696202531646,3.68254735210467,0.000711916842009482,0.0127770338486965,0.0111224681133891,"ADH1B/GSTM5/ALDH3B2/CBR1/AKR1C1/UGT1A6/HPGDS/AKR7A3/UGT1A7/GSTA3/UGT1A10/UGT1A1/UGT1A3/UGT2B15/UGT1A4/UGT1A5/ALDH3A1/AKR7L/CYP1A2/CYP2C9/ADH7",21
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","14/1200","45/9376",0.311111111111111,2.43081481481481,3.68579698319188,0.00103743525575196,0.0171807557502928,0.0149559287593226,"ABCA12/ABCC3/ABCA8/ABCA10/ABCB6/ABCC2/ABCA9/ABCA4/ABCA6/ABCA3/ABCB1/ABCA13/DEFB1/ABCB5",14
NA,NA,"hsa04981","Folate transport and metabolism","11/1200","31/9376",0.354838709677419,2.77247311827957,3.78683751763463,0.00105805240690953,0.0171807557502928,0.0149559287593226,"SHMT2/ABCC3/TYMS/ABCC2/SLCO1B3/SLCO1B3-SLCO1B7/FOLR3/SLCO1B1/BHMT2/BHMT/SLC22A8",11
NA,NA,"hsa04082","Neuroactive ligand signaling","41/1200","199/9376",0.206030150753769,1.60978224455611,3.33086297261805,0.00120464005680088,0.0186719208804136,0.0162539950247774,"ADRB2/SLC6A4/GNG11/ADRB1/HTR3A/GRIA1/SLC17A9/P2RY6/SLC1A1/ADRA1A/GRIN2D/ADCY4/GRIK4/SLC6A3/ADCY8/AGRP/PENK/CHRM1/GRIK2/ACHE/P2RX2/SLC1A7/GRIN1/HTR1D/SLC5A7/GLRA3/GNB3/HTR3C/GABRP/GNG4/CHRM2/GABRD/CHRNA3/PRKCG/CHRNB4/OPRK1/SLC6A11/GABRA3/TACR3/GABRQ/HTR3B",41
"Organismal Systems","Circulatory system","hsa04270","Vascular smooth muscle contraction","30/1200","134/9376",0.223880597014925,1.74925373134328,3.34660265577694,0.00137529202611858,0.020390199169845,0.017749764364551,"NPR1/ADM2/CALCRL/RAMP2/RAMP3/PRKCE/PLA2G4F/GUCY1A2/AGTR1/PRKCQ/RAMP1/ADRA1A/EDN1/PLA2G1B/PLA2G4A/ADCY4/PPP1R14A/PLA2G2A/ADCY8/MYH11/CACNA1S/PLA2G3/PLA2G2C/EDN2/EDN3/CALCA/PRKCG/CALML6/CALCB/PLA2G2F",30
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","41/1200","201/9376",0.203980099502488,1.59376451077944,3.25998084609154,0.00147318141120513,0.0209314525508729,0.018220927980695,"ETV4/PLAU/FLI1/ERG/LMO2/HMGA2/H3C15/FUT8/SIX4/PPARG/GADD45B/MMP9/CCNA2/RUNX2/IL6/SPINT1/JUP/H3C2/IGFBP3/SIX1/H3C10/H3C3/H3C4/NR4A3/H3C11/H3C13/H3C12/PAX7/H3C7/ZBTB16/MMP3/H3C8/MYCN/H3C6/HOXA10/PTCRA/DEFA3/PROM1/RXRG/DEFA1/MPO",41
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","66/1200","362/9376",0.18232044198895,1.42453038674033,3.15580463394319,0.00161449668527416,0.0220217347871395,0.0191700237998868,"SPP1/EFNA4/ITGA11/TEK/THBS2/COL1A1/IL3RA/FGFR4/FGF2/VEGFD/TNXB/ITGB4/ITGA8/IL6/CSF3/EFNA3/GNG11/COL1A2/LAMB3/COMP/VWF/COL6A3/ANGPT1/COL6A6/PPP2R2C/FGF10/TGFA/ITGA2/NR4A1/PGF/BDNF/CCNE1/ANGPT4/EIF4EBP1/CCNE2/LAMC2/CSF3R/DDIT4/ITGB8/COL2A1/IL2RA/COL9A2/EFNA5/GHR/CHRM1/EGF/LAMC3/TNR/COL4A3/TNC/COL6A5/NTRK2/SGK2/RET/COL9A3/IBSP/GNB3/GNG4/FGF19/CHRM2/ARTN/THBS4/NRTN/CD19/COL9A1/G6PC2",66
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","56/1200","298/9376",0.187919463087248,1.4682774049217,3.14718349948731,0.00176426028850421,0.0231389522453821,0.0201425668566067,"TNFRSF21/ACVRL1/IL3RA/CXCR2/IL1RL1/IL6/CSF3/CXCR1/LEPR/CXCL2/CCL23/IL20RB/BMP8A/BMP2/CXCL13/GDF10/IL18R1/CCL2/CXCL3/CXCL14/PF4/IL36G/IL37/IL33/IL1RL2/LIFR/TNFRSF18/CSF3R/IL31RA/IFNE/TNFSF11/IL2RA/TNFSF14/GHR/INHA/IL18RAP/PPBP/IL1B/IL23A/IL36RN/IL5RA/CCL24/CCL14/CNTFR/TNFRSF17/CCL19/GDF15/IL13/CCR8/IL22RA1/TNFRSF13C/AMH/INHBE/IL11/CXCL6/LEP",56
"Metabolism","Amino acid metabolism","hsa00360","Phenylalanine metabolism","7/1200","16/9376",0.4375,3.41833333333333,3.70889081840268,0.00220865059270457,0.0278944389671207,0.0242822404344128,"MAOB/MIF/AOC3/ALDH3B2/IL4I1/ALDH3A1/PAH",7
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","17/1200","66/9376",0.257575757575758,2.01252525252525,3.16234181369133,0.00318775102114537,0.0377134066615557,0.0328296980353718,"AKR1C2/SRD5A3/HSD17B6/SRD5A1/AKR1C1/AKR1C3/UGT1A6/CYP3A7/UGT1A7/UGT1A10/UGT1A1/UGT1A3/UGT2B15/UGT1A4/UGT1A5/CYP1A2/CYP19A1",17
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","40/1200","203/9376",0.197044334975369,1.53957307060755,2.97747695274338,0.00322582143853577,0.0377134066615557,0.0328296980353718,"SPP1/ITGA11/CAV1/EMP2/THBS2/COL1A1/VEGFD/TNXB/PAK6/ITGB4/ITGA8/RAC3/CAV2/COL1A2/LAMB3/COMP/VWF/COL6A3/COL6A6/PIP5K1B/ITGA2/SHC3/PGF/LAMC2/ITGB8/COL2A1/COL9A2/EMP1/EGF/LAMC3/TNR/COL4A3/TNC/COL6A5/COL9A3/IBSP/THBS4/PRKCG/CAV3/COL9A1",40
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","23/1200","100/9376",0.23,1.79706666666667,3.0698707944388,0.00331789501421311,0.0377134066615557,0.0328296980353718,"CXCR2/IL6/CXCR1/CXCL2/CCL23/IL20RB/CXCL13/IL18R1/CCL2/CXCL3/CXCL14/PF4/IL37/IL2RA/TNFSF14/IL18RAP/PPBP/CCL24/CCL14/CCL19/CCR8/IL22RA1/CXCL6",23
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","8/1200","22/9376",0.363636363636364,2.84121212121212,3.31224385285673,0.00428307985406784,0.0471138783947463,0.0410128529319909,"MAOB/ASPA/AOC1/ALDH3B2/ALDH2/HDC/ALDH3A1/CNDP1",8
