"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation"
"5831",107.09939109946,2.97763240000574,0.143738241226311,20.7156590661044,2.50257572410799e-95,4.7181060126608e-91,"PYCR1","Up"
"1301",595.670553674373,5.46997703404867,0.269527756210714,20.2946706155647,1.43311833925791e-91,1.35092900250147e-87,"COL11A1","Up"
"6696",1180.34447136502,4.32843237564109,0.226987237095841,19.0690561769933,4.56469232183325e-81,2.15145360858805e-77,"SPP1","Up"
"84985",175.803973125832,5.14530027350279,0.269658541971004,19.0807983900471,3.64646062993917e-81,2.15145360858805e-77,"FAM83A","Up"
"8676",184.696045198214,-1.97175011300968,0.106320046286152,-18.5454218831213,8.88011696207211e-77,3.34833690171891e-73,"STX11","Down"
"2118",66.3121837152741,2.96146107439111,0.161465443737619,18.341144741803,3.88528997692108e-75,1.22082286558155e-71,"ETV4","Up"
"55083",372.979416587559,2.80766422463414,0.153494741436948,18.2915987762842,9.65416149706017e-75,2.60014152434393e-71,"KIF26B","Up"
"4320",188.449655966355,4.57704612861693,0.252352193840412,18.137532545136,1.61103460123688e-73,3.79660441713987e-70,"MMP11","Up"
"6712",335.246656323268,2.4832604048331,0.139004798290919,17.8645660823589,2.22656752204615e-71,4.66416416590401e-68,"SPTBN2","Up"
"54443",166.660165355907,2.83919740415358,0.160703887749372,17.6672602257233,7.49496517543668e-70,1.41302578452508e-66,"ANLN","Up"
"84262",84.7928271231858,1.32436298771648,0.0752735828648327,17.5939942980343,2.73874544144484e-69,4.61463284154219e-66,"PSMG3","Up"
"1945",38.2971666964619,1.77195155174456,0.100736131162917,17.5900298263275,2.93722983602112e-69,4.61463284154219e-66,"EFNA4","Up"
"115908",131.384000413592,3.11587235607327,0.177336453433052,17.5703996316222,4.15237075914024e-69,6.02189584015931e-66,"CTHRC1","Up"
"56649",336.819808976764,3.75581691017321,0.214384527297681,17.5190670591545,1.02492326438252e-68,1.38020559310025e-65,"TMPRSS4","Up"
"4192",179.435989970116,2.53216562987798,0.144626952819352,17.5082554151632,1.23934446334384e-68,1.55769074449476e-65,"MDK","Up"
"9601",1046.8185956864,1.63447831978369,0.0944919029538285,17.2975489823963,4.90831130300013e-67,5.78352456221634e-64,"PDIA4","Up"
"1063",367.586888755935,2.59578992656281,0.151292186696748,17.1574618837776,5.52771126415371e-66,6.13023179194647e-63,"CENPF","Up"
"132299",132.581592081117,1.82372382408022,0.106728843828063,17.0874503898701,1.84046625700298e-65,1.92768390795984e-62,"OCIAD2","Up"
"3017",172.847345821755,1.88261298277608,0.11019593852026,17.0842320330159,1.94486850728385e-65,1.9298213667275e-62,"H2BC5","Up"
"1917",87.6077723943324,5.56527875824173,0.326516384970901,17.0444088395065,3.84613233836675e-65,3.62555664876142e-62,"EEF1A2","Up"
"2273",878.401458301156,-2.36740964901406,0.139323907017565,-16.9921279103636,9.39192363094499e-65,8.43171124829552e-62,"FHL1","Down"
"5832",272.42012648528,1.23737571364249,0.0732761234028833,16.8864789262828,5.65805071567164e-64,4.84869227920715e-61,"ALDH18A1","Up"
"7153",343.601211212469,2.85998114250108,0.169565110936224,16.8665660448083,7.92729129976066e-64,6.4979662119299e-61,"TOP2A","Up"
"80078",163.264299107865,5.35933507750198,0.318596131133327,16.821720522586,1.69173502990598e-63,1.32892835495072e-60,"LCAL1","Up"
"1382",102.953872006102,3.46043749718187,0.208593293862117,16.5893995588816,8.31474511368762e-62,6.2703155851341e-59,"CRABP2","Up"
"6732",467.17000633658,1.03185782492607,0.0630927008635973,16.3546307386157,4.0314474513085e-60,2.92326456921227e-57,"SRPK1","Up"
"152007",299.822490973253,-1.72188431168918,0.105470160588486,-16.3257958656902,6.46915265564309e-60,4.51714574136441e-57,"GLIPR2","Down"
"150696",261.102746936685,2.4976369903216,0.153282885412582,16.2942978506626,1.08340741982005e-59,7.29481431638124e-57,"PROM2","Up"
"11065",36.0186594791086,3.27608895850432,0.202318961505392,16.1926936265784,5.67872891512703e-59,3.69176124954793e-56,"UBE2C","Up"
"84908",189.456957913664,0.941492928680598,0.0583303103396532,16.1407152336127,1.3200276142086e-58,8.29549353689158e-56,"FAM136A","NS"
"3149",430.307425062247,2.69327656350448,0.16783714542545,16.0469636008006,6.00298935314738e-58,3.65078575080282e-55,"HMGB3","Up"
"26472",164.435240301706,1.59779835786859,0.0997269663210124,16.0217282928813,9.01104498205151e-58,5.30891347020679e-55,"PPP1R14B","Up"
"51280",539.108111183941,1.83005868158479,0.114747029048846,15.9486367251021,2.91184051386149e-57,1.6635433093282e-54,"GOLM1","Up"
"23328",799.930435256799,-1.17964061112061,0.0741748381320203,-15.9035144643124,5.9907536211845e-57,3.32187288294681e-54,"SASH1","Down"
"23213",938.800583902339,2.33940391996975,0.147980347015141,15.8088825114756,2.70217430431302e-56,1.45554549026324e-53,"SULF1","Up"
"4605",73.8280107282207,2.92890145334997,0.18700342725766,15.6622875649997,2.73866707624418e-55,1.43422473301199e-52,"MYBL2","Up"
